2014-08-28 10:11:38.974 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,1,"idle",2014-08-28 10:11:38 BST,2/3,0,LOG,00000,"statement: SELECT version();",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:38.986 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,2,"idle",2014-08-28 10:11:38 BST,2/4,0,LOG,00000,"statement: SET DateStyle=ISO;
SET client_min_messages=notice;
SET bytea_output=escape;
SELECT oid, pg_encoding_to_char(encoding) AS encoding, datlastsysoid
  FROM pg_database WHERE datname='postgres'",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:38.997 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,3,"idle",2014-08-28 10:11:38 BST,2/5,0,LOG,00000,"statement: set client_encoding to 'UNICODE'",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:38.997 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,4,"idle",2014-08-28 10:11:38 BST,2/6,0,LOG,00000,"statement: SELECT usecreatedb, usesuper, CASE WHEN usesuper THEN pg_postmaster_start_time() ELSE NULL END as upsince, CASE WHEN usesuper THEN pg_conf_load_time() ELSE NULL END as confloadedsince, CASE WHEN usesuper THEN pg_is_in_recovery() ELSE NULL END as inrecovery, CASE WHEN usesuper THEN pg_last_xlog_receive_location() ELSE NULL END as receiveloc, CASE WHEN usesuper THEN pg_last_xlog_replay_location() ELSE NULL END as replayloc, CASE WHEN usesuper THEN pg_last_xact_replay_timestamp() ELSE NULL END as replay_timestamp, CASE WHEN usesuper AND pg_is_in_recovery() THEN pg_is_xlog_replay_paused() ELSE NULL END as isreplaypaused
  FROM pg_user WHERE usename=current_user",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.005 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,5,"idle",2014-08-28 10:11:38 BST,2/7,0,LOG,00000,"statement: SELECT rolcreaterole, rolcreatedb FROM pg_roles WHERE rolname = current_user;",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.008 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,6,"idle",2014-08-28 10:11:38 BST,2/8,0,LOG,00000,"statement: SELECT db.oid, datname, db.dattablespace AS spcoid, spcname, datallowconn, datacl, pg_encoding_to_char(encoding) AS serverencoding, pg_get_userbyid(datdba) AS datowner,has_database_privilege(db.oid, 'CREATE') as cancreate, 
current_setting('default_tablespace') AS default_tablespace, 
descr.description
, db.datconnlimit as connectionlimit, db.datcollate as collate, db.datctype as ctype,
(SELECT array_agg(label) FROM pg_shseclabel sl1 WHERE sl1.objoid=db.oid) AS labels,
(SELECT array_agg(provider) FROM pg_shseclabel sl2 WHERE sl2.objoid=db.oid) AS providers  FROM pg_database db
  LEFT OUTER JOIN pg_tablespace ta ON db.dattablespace=ta.OID
  LEFT OUTER JOIN pg_shdescription descr ON (db.oid=descr.objoid AND descr.classoid='pg_database'::regclass)
 ORDER BY datname",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.019 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,7,"idle",2014-08-28 10:11:38 BST,2/9,0,LOG,00000,"statement: SELECT ts.oid, spcname, pg_catalog.pg_tablespace_location(ts.oid) AS spclocation, spcoptions, pg_get_userbyid(spcowner) as spcuser, spcacl, pg_catalog.shobj_description(oid, 'pg_tablespace') AS description, (SELECT array_agg(label) FROM pg_shseclabel sl1 WHERE sl1.objoid=ts.oid) AS labels, (SELECT array_agg(provider) FROM pg_shseclabel sl2 WHERE sl2.objoid=ts.oid) AS providers FROM pg_tablespace ts
 ORDER BY spcname",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.021 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,8,"idle",2014-08-28 10:11:38 BST,2/10,0,LOG,00000,"statement: SELECT cl.oid FROM pg_class cl JOIN pg_namespace ns ON ns.oid=relnamespace
 WHERE relname='pga_job' AND nspname='pgagent'",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.022 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,9,"idle",2014-08-28 10:11:38 BST,2/11,0,LOG,00000,"statement: SELECT has_table_privilege('pg_authid', 'SELECT')",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.023 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,10,"idle",2014-08-28 10:11:38 BST,2/12,0,LOG,00000,"statement: SELECT tab.oid, tab.*, pg_catalog.shobj_description(tab.oid, 'pg_authid') AS description,
(SELECT array_agg(label) FROM pg_shseclabel sl1 WHERE sl1.objoid=tab.oid) AS labels,
(SELECT array_agg(provider) FROM pg_shseclabel sl2 WHERE sl2.objoid=tab.oid) AS providers FROM pg_authid tab WHERE NOT rolcanlogin ORDER BY rolname",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.024 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,11,"idle",2014-08-28 10:11:38 BST,2/13,0,LOG,00000,"statement: SELECT has_table_privilege('pg_authid', 'SELECT')",,,,,,,,,"pgAdmin III - Browser"
2014-08-28 10:11:39.024 BST,"postgres","postgres",9584,"::1:51366",53fef24a.2570,12,"idle",2014-08-28 10:11:38 BST,2/14,0,LOG,00000,"statement: SELECT tab.oid, tab.*, pg_catalog.shobj_description(tab.oid, 'pg_authid') AS description,
(SELECT array_agg(label) FROM pg_shseclabel sl1 WHERE sl1.objoid=tab.oid) AS labels,
(SELECT array_agg(provider) FROM pg_shseclabel sl2 WHERE sl2.objoid=tab.oid) AS providers FROM pg_authid tab WHERE rolcanlogin ORDER BY rolname",,,,,,,,,"pgAdmin III - Browser"
