3	3	28.2	1	2867								
3	3	24.5	1	1600								
3	3	27.5	1	2550								
3	2	24.7	4	2550								
3	1	25.2	1	2000								
4	3	27.3	1	2900								
3	3	26.3	1	2400								
3	3	29	1	3100								
3	3	25.3	2	1900								
3	3	26.5	4	2300								
3	3	27.8	3	3250								
3	3	27	6	2500								
4	3	25.7	0	2100								
3	3	25	2	2100								
5	3	23.7	0	1800								
5	3	29.3	12	3225								
4	3	22	0	1400								
3	3	25	5	2400								
4	3	27	6	2500								
4	3	23.8	6	1800								
2	1	30.2	2	3275								
4	3	26.2	0	2225								
3	3	24.2	2	1650								
3	3	27.4	3	2900								
3	2	25.4	0	2300								
4	3	28.4	3	3200								
5	3	22.5	4	1475								
3	3	26.2	2	2025								
3	1	24.9	6	2300								
2	2	24.5	6	1950								
3	3	25.1	0	1800								
3	1	28	4	2900								
5	3	25.8	10	2250								
3	3	27.9	7	3050								
3	3	24.9	0	2200								
3	1	28.4	5	3100								
4	3	27.2	5	2400								
3	2	25	6	2250								
3	3	27.5	6	2625								
3	1	33.5	7	5200								
3	3	30.5	3	3325								
4	3	29	3	2925								
3	1	24.3	0	2000								
3	3	25.8	0	2400								
5	3	25	8	2100								
3	1	31.7	4	3725								
3	3	29.5	4	3025								
4	3	24	10	1900								
3	3	30	9	3000								
3	3	27.6	4	2850								
3	3	26.2	0	2300								
3	1	23.1	0	2000								
3	1	22.9	0	1600								
5	3	24.5	0	1900								
3	3	24.7	4	1950								
3	3	28.3	0	3200								
3	3	23.9	2	1850								
4	3	23.8	0	1800								
4	2	29.8	4	3500								
3	3	26.5	4	2350								
3	3	26	3	2275								
3	3	28.2	8	3050								
5	3	25.7	0	2150								
3	3	26.5	7	2750								
3	3	25.8	0	2200								
4	3	24.1	0	1800								
4	3	26.2	2	2175								
4	3	26.1	3	2750								
4	3	29	4	3275								
2	1	28	0	2625								
