29	75	tr
60	26	tr
-90	77	tl
-82	-68	bl
22	69	tr
-49	94	tl
68	55	tr
81	-43	br
-99	-60	bl
-48	29	tl
28	96	tr
-83	96	tl
-18	92	tl
17	43	tr
5	39	tr
83	86	tr
38	-82	br
14	3	tr
-11	40	tl
99	57	tr
-94	73	tl
52	-24	br
-20	-18	bl
9	-10	br
88	89	tr
93	75	tr
-91	-80	bl
-70	-100	bl
1	-50	br
-77	100	tl
-59	-50	bl
-25	-52	bl
-59	-43	bl
72	91	tr
-37	-80	bl
-91	-11	bl
-17	84	tl
-95	-80	bl
-20	-87	bl
26	-20	br
-3	-94	bl
81	54	tr
-54	-91	bl
19	-70	br
-18	40	tl
54	53	tr
34	-92	br
48	38	tr
93	-54	br
29	82	tr
-47	55	tl
-17	-98	bl
49	-53	br
-12	9	tl
-34	-88	bl
-42	-18	bl
-100	49	tl
-90	16	tl
68	3	tr
40	-60	br
-90	99	tl
-76	-72	bl
-90	-41	bl
89	55	tr
-68	-69	bl
-69	-25	bl
-39	56	tl
90	65	tr
-66	45	tl
44	-38	br
-82	83	tl
9	-20	br
-97	12	tl
65	17	tr
70	-70	br
61	82	tr
-90	82	tl
38	98	tr
28	-18	br
-77	25	tl
-94	71	tl
37	-59	br
-49	-48	bl
-28	-12	bl
31	17	tr
50	-95	br
79	-80	br
38	-42	br
99	-6	br
44	-97	br
17	-74	br
62	-60	br
-77	-41	bl
-67	62	tl
64	-12	br
-27	-18	bl
-21	-57	bl
-94	-42	bl
