34.0 ? 1156.0 3468.0 3.526360525 5.83461742527455E14
22.0 ? 484.0 1452.0 3.091042453 3.58491284613E9
23.0 46.0 ? 1587.0 3.135494216 9.74480344625E9
65.0 130.0 ? 12675.0 4.17438727 1.69488924441033E28
31.0 62.0 961.0 ? 3.433987204 2.90488496652474E13
13.0 26.0 169.0 ? 2.564949357 442413.39
22.0 44.0 484.0 1452.0 ? 3.58491284613E9
94.0 188.0 8836.0 26508.0 ? 6.6631762164109E40
76.0 152.0 5776.0 17328.0 4.33073334 ?
83.0 166.0 6889.0 20667.0 4.418840608 ?
? 34.0 289.0 867.0 2.833213344 2.415495275E7
? 152.0 5776.0 17328.0 4.33073334 1.01480038811389E33
86.0 ? 7396.0 22188.0 4.454347296 2.23524660373471E37
61.0 122.0 ? 11163.0 4.110873864 3.10429793570192E26
27.0 54.0 729.0 ? 3.295836866 5.320482406018E11
29.0 58.0 841.0 2523.0 ? 3.93133429714404E12
60.0 120.0 3600.0 10800.0 4.094344562 ?
