48	223
125	691
104	569
88	457
142	821
69	347
68	337
81	419
42	181
105	571
152	881
1	2
71	353
115	631
23	83
110	601
18	61
75	379
64	311
164	971
49	227
96	503
103	563
28	107
25	97
159	937
108	593
34	139
122	673
11	31
140	809
47	211
127	709
89	461
61	283
113	617
3	5
129	727
150	863
63	307
93	487
106	577
55	257
145	829
43	191
167	991
144	827
16	53
139	797
15	47
166	983
130	733
90	463
45	197
7	17
17	59
78	397
40	173
109	599
59	277
50	229
128	719
9	23
44	193
4	7
58	271
27	103
158	929
74	373
91	467
146	839
76	383
82	421
80	409
124	683
168	997
57	269
31	127
70	349
83	431
35	149
92	479
101	547
84	433
5	11
87	449
133	751
19	67
26	101
154	887
56	263
20	71
24	89
6	13
30	113
54	251
37	157
66	317
148	857
102	557
121	661
60	281
14	43
161	947
85	439
100	541
62	293
12	37
160	941
165	977
135	761
120	659
162	953
86	443
10	29
155	907
95	499
123	677
134	757
77	389
2	3
41	179
131	739
32	131
119	653
149	859
111	607
136	769
143	823
52	239
112	613
156	911
132	743
117	643
8	19
21	73
13	41
39	167
29	109
163	967
157	919
141	811
79	401
22	79
116	641
138	787
99	523
151	877
33	137
137	773
51	233
97	509
67	331
126	701
36	151
38	163
73	367
72	359
153	883
114	619
98	521
53	241
118	647
94	491
107	587
65	313
46	199
147	853
