3	3	28.3	8	3050
4	3	22.5	0	1550
2	1	26	9	2300
4	3	24.8	0	2100
4	3	26	4	2600
3	3	23.8	0	2100
2	1	26.5	0	2350
4	2	24.7	0	1900
3	1	23.7	0	1950
4	3	25.6	0	2150
4	3	24.3	0	2150
3	3	25.8	0	2650
3	3	28.2	11	3050
5	2	21	0	1850
3	1	26	14	2300
2	1	27.1	8	2950
3	3	25.2	1	2000
3	3	29	1	3000
5	3	24.7	0	2200
3	3	27.4	5	2700
3	2	23.2	4	1950
2	2	25	3	2300
3	1	22.5	1	1600
4	3	26.7	2	2600
5	3	25.8	3	2000
5	3	26.2	0	1300
3	3	28.7	3	3150
3	1	26.8	5	2700
5	3	27.5	0	2600
3	3	24.9	0	2100
2	1	29.3	4	3200
2	3	25.8	0	2600
3	2	25.7	0	2000
3	1	25.7	8	2000
3	1	26.7	5	2700
5	3	23.7	0	1850
3	3	26.8	0	2650
3	3	27.5	6	3150
5	3	23.4	0	1900
3	3	27.9	6	2800
4	3	27.5	3	3100
2	1	26.1	5	2800
2	1	27.7	6	2500
3	1	30	5	3300
4	1	28.5	9	3250
4	3	28.9	4	2800
3	3	28.2	6	2600
3	3	25	4	2100
3	3	28.5	3	3000
3	1	30.3	3	3600
5	3	24.7	5	2100
3	3	27.7	5	2900
2	1	27.4	6	2700
3	3	22.9	4	1600
3	1	25.7	5	2000
3	3	28.3	15	3000
3	3	27.2	3	2700
4	3	26.2	3	2300
3	1	27.8	0	2750
5	3	25.5	0	2250
4	3	27.1	0	2550
4	3	24.5	5	2050
4	1	27	3	2450
3	3	26	5	2150
3	3	28	1	2800
3	3	30	8	3050
3	3	29	10	3200
3	3	26.2	0	2400
3	1	26.5	0	1300
3	3	26.2	3	2400
4	3	25.6	7	2800
4	3	23	1	1650
4	3	23	0	1800
3	3	25.4	6	2250
4	3	24.2	0	1900
3	2	22.9	0	1600
4	2	26	3	2200
3	3	25.4	4	2250
4	3	25.7	0	1200
3	3	25.1	5	2100
4	2	24.5	0	2250
5	3	27.5	0	2900
4	3	23.1	0	1650
4	1	25.9	4	2550
3	3	25.8	0	2300
5	3	27	3	2250
3	3	28.5	0	3050
5	1	25.5	0	2750
5	3	23.5	0	1900
3	2	24	0	1700
3	1	29.7	5	3850
3	1	26.8	0	2550
5	3	26.7	0	2450
3	1	28.7	0	3200
4	3	23.1	0	1550
3	1	29	1	2800
4	3	25.5	0	2250
4	3	26.5	1	1967
4	3	24.5	1	2200
4	3	28.5	1	3000
