?	3	28.2	1	2867
?	3	24.5	1	1600
?	3	27.5	1	2550
?	2	24.7	4	2550
?	1	25.2	1	2000
?	3	27.3	1	2900
?	3	26.3	1	2400
?	3	29	1	3100
?	3	25.3	2	1900
?	3	26.5	4	2300
?	3	27.8	3	3250
?	3	27	6	2500
?	3	25.7	0	2100
?	3	25	2	2100
5	?	23.7	0	1800
5	?	29.3	12	3225
4	?	22	0	1400
3	?	25	5	2400
4	?	27	6	2500
4	?	23.8	6	1800
2	?	30.2	2	3275
4	?	26.2	0	2225
3	?	24.2	2	1650
3	?	27.4	3	2900
3	?	25.4	0	2300
4	?	28.4	3	3200
5	?	22.5	4	1475
3	?	26.2	2	2025
3	1	?	6	2300
2	2	?	6	1950
3	3	?	0	1800
3	1	?	4	2900
5	3	?	10	2250
3	3	?	7	3050
3	3	?	0	2200
3	1	?	5	3100
4	3	?	5	2400
3	2	?	6	2250
3	3	?	6	2625
3	1	?	7	5200
3	3	?	3	3325
4	3	?	3	2925
3	1	24.3	?	2000
3	3	25.8	?	2400
5	3	25	?	2100
3	1	31.7	?	3725
3	3	29.5	?	3025
4	3	24	?	1900
3	3	30	?	3000
3	3	27.6	?	2850
3	3	26.2	?	2300
3	1	23.1	?	2000
3	1	22.9	?	1600
5	3	24.5	?	1900
3	3	24.7	?	1950
3	3	28.3	?	3200
3	3	23.9	2	?
4	3	23.8	0	?
4	2	29.8	4	?
3	3	26.5	4	?
3	3	26	3	?
3	3	28.2	8	?
5	3	25.7	0	?
3	3	26.5	7	?
3	3	25.8	0	?
4	3	24.1	0	?
4	3	26.2	2	?
4	3	26.1	3	?
4	3	29	4	?
2	1	28	0	?
