01/09/2014,Y
02/09/2014,Y
03/09/2014,Y
04/09/2014,Y
05/09/2014,Y
06/09/2014,
07/09/2014,
08/09/2014,Y
09/09/2014,Y
10/09/2014,Y
11/09/2014,Y
12/09/2014,Y
13/09/2014,
14/09/2014,
15/09/2014,Y
16/09/2014,Y
17/09/2014,Y
18/09/2014,Y
19/09/2014,Y
20/09/2014,
21/09/2014,
22/09/2014,Y
23/09/2014,Y
24/09/2014,Y
25/09/2014,Y
26/09/2014,Y
27/09/2014,
28/09/2014,
29/09/2014,Y
30/09/2014,Y
01/10/2014,Y
02/10/2014,Y
03/10/2014,Y
04/10/2014,
05/10/2014,
06/10/2014,Y
07/10/2014,Y
08/10/2014,Y
09/10/2014,Y
10/10/2014,Y
11/10/2014,
12/10/2014,
13/10/2014,Y
14/10/2014,Y
15/10/2014,Y
16/10/2014,Y
17/10/2014,Y
18/10/2014,
19/10/2014,
20/10/2014,Y
21/10/2014,Y
22/10/2014,Y
23/10/2014,Y
24/10/2014,Y
25/10/2014,
26/10/2014,
27/10/2014,
28/10/2014,
29/10/2014,
30/10/2014,
31/10/2014,
01/11/2014,
02/11/2014,
03/11/2014,Y
04/11/2014,Y
05/11/2014,Y
06/11/2014,Y
07/11/2014,Y
08/11/2014,
09/11/2014,
10/11/2014,Y
11/11/2014,Y
12/11/2014,Y
13/11/2014,Y
14/11/2014,Y
15/11/2014,
16/11/2014,
17/11/2014,Y
18/11/2014,Y
19/11/2014,Y
20/11/2014,Y
21/11/2014,Y
22/11/2014,
23/11/2014,
24/11/2014,Y
25/11/2014,Y
26/11/2014,Y
27/11/2014,Y
28/11/2014,Y
29/11/2014,
30/11/2014,
01/12/2014,Y
02/12/2014,Y
03/12/2014,Y
04/12/2014,Y
05/12/2014,Y
06/12/2014,
07/12/2014,
08/12/2014,Y
09/12/2014,Y
10/12/2014,Y
11/12/2014,Y
12/12/2014,Y
13/12/2014,
14/12/2014,
15/12/2014,Y
16/12/2014,Y
17/12/2014,Y
18/12/2014,Y
19/12/2014,Y
20/12/2014,
21/12/2014,
22/12/2014,
23/12/2014,
24/12/2014,
25/12/2014,
26/12/2014,
27/12/2014,
28/12/2014,
29/12/2014,
30/12/2014,
31/12/2014,
01/01/2015,
02/01/2015,
03/01/2015,
04/01/2015,
05/01/2015,Y
06/01/2015,Y
07/01/2015,Y
08/01/2015,Y
09/01/2015,Y
10/01/2015,
11/01/2015,
12/01/2015,Y
13/01/2015,Y
14/01/2015,Y
15/01/2015,Y
16/01/2015,Y
17/01/2015,
18/01/2015,
19/01/2015,Y
20/01/2015,Y
21/01/2015,Y
22/01/2015,Y
23/01/2015,Y
24/01/2015,
25/01/2015,
26/01/2015,Y
27/01/2015,Y
28/01/2015,Y
29/01/2015,Y
30/01/2015,Y
31/01/2015,
01/02/2015,
02/02/2015,Y
03/02/2015,Y
04/02/2015,Y
05/02/2015,Y
06/02/2015,Y
07/02/2015,
08/02/2015,
09/02/2015,Y
10/02/2015,Y
11/02/2015,Y
12/02/2015,Y
13/02/2015,Y
14/02/2015,
15/02/2015,
16/02/2015,
17/02/2015,
18/02/2015,
19/02/2015,
20/02/2015,
21/02/2015,
22/02/2015,
23/02/2015,Y
24/02/2015,Y
25/02/2015,Y
26/02/2015,Y
27/02/2015,Y
28/02/2015,
01/03/2015,
02/03/2015,Y
03/03/2015,Y
04/03/2015,Y
05/03/2015,Y
06/03/2015,Y
07/03/2015,
08/03/2015,
09/03/2015,Y
10/03/2015,Y
11/03/2015,Y
12/03/2015,Y
13/03/2015,Y
14/03/2015,
15/03/2015,
16/03/2015,Y
17/03/2015,Y
18/03/2015,Y
19/03/2015,Y
20/03/2015,Y
21/03/2015,
